,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
344,14000.0,89787,JN8CS1MU7EM450517,2023-11-24 22:30:16.080235+00:00,Cars.com,INFINITI,QX70,2014,,Black,Gray,RWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
345,30999.0,10262,19UDE4G74PA001154,2023-11-12 20:12:42.009526+00:00,Cars.com,ACURA,Integra,2023,,White,Other,FWD,Gasoline,Manual,1.5L,,,0,0,
346,36495.0,34254,1GTG6FEN5K1241697,2023-11-24 22:08:02.167854+00:00,Cars.com,GMC,Canyon,2019,,Black,Black,4WD,Gasoline,Automatic,3.6L,V6,,0,0,01464
347,19100.0,140352,5TDJY5G1XCS060068,2023-11-12 20:12:46.739928+00:00,Cars.com,TOYOTA,Sequoia,2012,,Gray,Other,4WD,Gasoline,Automatic,5.7L,,,0,0,
348,20997.0,73219,JN8CS1MWXEM413589,2023-11-24 22:31:22.421228+00:00,Cars.com,INFINITI,QX70,2014,,Black,Other,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
349,41999.0,4667,KM8KRDAF3PU173955,2023-11-12 20:17:09.325616+00:00,Cars.com,HYUNDAI,IONIQ 5,2023,,Other,Black,AWD,Other,Automatic,,,,0,0,
350,148700.0,11443,WP0BB2A91GS136860,2023-11-12 16:54:17.009108+00:00,Cars.com,PORSCHE,911,2016,"4S, 4 GTS",Orange,Black,AWD,Gasoline,Automatic,3.8L,,GDI,0,0,
351,29987.0,36699,JF2SKAXC5MH406891,2023-11-24 22:01:17.991279+00:00,Cars.com,SUBARU,Forester,2021,Touring,Blue,Brown,AWD,Gasoline,Automatic,2.5L,,GDI,0,0,01464
352,24854.0,25507,1HGCV1F37NA057529,2023-11-12 17:44:38.206755+00:00,Cars.com,HONDA,Accord,2022,Sport,Black,Other,FWD,Gasoline,Automatic,1.5L,I4,GDI,1,0,
353,85988.0,4180,7SVAAABA2PX009268,2023-11-12 20:14:38.406478+00:00,Cars.com,TOYOTA,Sequoia,2023,,Other,Black,4WD,Hybrid,Automatic,3.4L,V6,DI,1,1,
354,37287.0,8405,JM3KFBXY7P0134990,2023-11-24 21:58:58.168633+00:00,Cars.com,MAZDA,CX-5,2023,Signature,Gray,Brown,AWD,Gasoline,Automatic,2.5L,I4,GDI,1,0,01464
355,33700.0,15107,1GCGSDEN1N1136708,2023-11-12 20:16:08.950316+00:00,Cars.com,CHEVROLET,Colorado,2022,Crew Cab/Utility,Black,Black,RWD,Gasoline,Automatic,3.6L,V6,GDI,0,0,
356,48998.0,25753,SALWG2SU4LA740014,2023-11-12 20:19:48.357782+00:00,Cars.com,LAND ROVER,Range Rover Sport,2020,SE,Black,Black,4WD,Gasoline,Automatic,,V6,,0,0,
357,15966.0,145515,5J8TB3H58JL003948,2023-11-12 20:13:14.379339+00:00,Cars.com,ACURA,RDX,2018,Tech Package/Tech with Acura Watch Plus Package,Black,Black,FWD,Gasoline,Automatic,3.5L,V6,MPFI,0,0,
358,14800.0,117806,JN8CS1MU0HM143386,2023-11-24 22:30:37.851247+00:00,Cars.com,INFINITI,QX70,2017,,Gray,Gray,RWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
359,22609.0,84939,W04GV8SX1K1009645,2023-11-12 16:54:06.099081+00:00,Cars.com,BUICK,Regal TourX,2019,,Gray,Black,AWD,Gasoline,Automatic,2.0L,I4,GDI,1,0,
360,24127.0,40421,JN8CS1MW2FM482441,2023-11-24 22:30:21.354234+00:00,Cars.com,INFINITI,QX70,2015,,Black,Gray,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
361,60296.0,22341,SALEJ7RX4N2088082,2023-11-12 17:42:23.554759+00:00,Cars.com,LAND ROVER,Defender,2022,110 S,Other,Black,4WD,Gasoline,Automatic,2.0L,I4,GDI,1,0,
362,51488.0,566,1N6AA1FB6PN113624,2023-11-12 16:52:32.893913+00:00,Cars.com,NISSAN,Titan,2023,Crew Cab,Black,Black,4WD,Gasoline,Automatic,5.6L,,,0,0,
